Course_Name,course_info
주니어세미나(SYNTHETIC BIOLOGY AND SOCIAL CHALLENGE) ,"This course will expose the students to the rapid change in science and let 
them ponder its impact on society.  Also the output of this seminar could be 
published as a part of a book which is planned by the faculty on the topic."
WORLD LITERATURE: RENAISSANCE LITERATURE ,"“Shakespeare, Media, Appropriation” begins with the concept that, as Marshall 
McLuhan wrote, ""The medium is the message.” In other words, “Shakespeare” 
and “Shakespeare’s plays” are not only experienced differently in varied 
media, they really ARE different. So, the argument goes, it is only common 
sense to experience and examine the plays within the context of their 
representational media – film, TV, social media, and even the “old-fashioned” 
printed book. Thus, in this class we will consider the plays through the ways 
in which media affect their shape and our experience of them. A further 
emphasis will be the ways in which the dissemination of Shakespeare globally 
and the reverse circulation of international high and popular culture back to 
Anglo/American arts by way of Shakespeare is changing literature as a concept 
and practice.

Course Goals

•To understand relations among the concepts of text, performance, medium, 
remediation, and appropriation;
•To understand and analyze Shakespearean plays or poems as texts;
•To understand and analyze Shakespearean plays or poems as performances;
•To understand and analyze Shakespearean plays or poems as mediated 
experiences;
•To analyze selected Shakespearean plays in terms of the effect played by 
changes in media on viewers’, auditors’, and audiences’ experience and 
understanding of the plays;
•To demonstrate the effects of media and remediation on Shakespearean plays;
•To understand Shakespeare`s changing literary, cultural, and educational 
contexts."
"THE ETHNOGRAPHIC EYE: READING KOREAN FASHION, CULTURE, AND SOCIETY ","This Spring edition of the course will combine theoretical, methodological, 
and practical/experimental content to offer a dynamic take on contemporary 
qualitative research, especially performative, autoreferential and creative 
ethnography. Our main topic is “Songdo,” or better: our lives 
in/around/about it. The professor will be very lenient regarding required 
theoretical readings but will insist upon rich class discussions of visual, 
music and verbal examples and on two individual micro-projects (one midterm 
project and the final project).
Students and the professor will study, describe, and debate spaces, places, 
times and rhythms of the island district of Songdo: lurking, gazing, spying, 
asking, experimenting, and performing."
CONTEMPORARY WOMEN’S CINEMA ,"This introductory film course examines the work of contemporary women 
directors in the context of global cinema culture. We will study films by 
female filmmakers from North America, South America, Europe, Middle East, 
Africa and Asia, with an emphasis on challenging, aesthetically innovative 
work. Questions of female authorship and spectatorship, feminist film critique 
and critical approaches to genre, among other key theoretical debates, will be 
covered in this course.
Through screenings and course readings, students will be exposed to key 
concepts and ideas central to feminist cinema including sociological, 
semiotic, ideological and psychoanalytic approaches. We study how women are 
particularly represented by female directors, and how women function as 
spectators in a sphere that accommodates alternative visions of women’s 
social roles and subjectivities. We will discuss the works’ thematic 
commonalities and differences, and the varying national, historical and 
industrial contexts from which these contemporary films emerge.
Through film analysis, research and study, participants will understand 
various cinematic techniques and concepts such as montage, mise-en-scène, 
address and point of view; and be familiarized with formal aspects of cinema 
such as camera, lighting, editing, sound, music, performance, production 
design, etc. Students will gain tools of textual analysis through examining 
the film’s overall structure, sequences, scenes and shot-by-shot analysis.
The syllabus is subject to change. Please consult the instructor with any 
questions."
STORYTELLING AND VISUALIZATION FOR DESIGNERS ,"Storytelling is one of the most timeless and effective ways to delivering 
ideas. It is useful not only to deliver information but also to persuade one`s 
opinion. Hence, Storytelling and structuring concepts are important for 
designers. Sufficient idea and logic should support visual outcomes. Finally, 
design works become most influential and amusing when they can both visually 
and conceptually interest audience. The overarching themes of the course are 
deliberately broad to allow scope for individual interpretation and analysis 
that comes from thorough study of a subject."
대중문화론 ,"대중문화의 양상에 대한 이론을 공부하고 이에 대해 논의하는 것이 본 과목의 목적이
다. 넓은 의미로는 인간의 삶 자체가 하나의 ‘문화’이고, 따라서 ‘대중문화론’이
란 우리의 살아가는 방식을 연구하는 것이기도 하다.

한편, 6주차부터 5~6회에 걸쳐 매주 수요일에는 시의성 있는 대중문화 쟁점을 하나씩 선택
하여 자유롭게 토론하는 시간을 가질 예정이다. 따라서 수강생은 최근의 중요한 문화적 쟁
점들에 대해 충분한 정보를 습득하여 토론에 참여할 의무가 있다.

(수요토론과는 별개로, 학생들은 조 편성을 해서 청년문화, 스포츠/게임, 섹슈얼리티, 텔
레비전/영화 중 한 가지 주제를 선정하여 해당 강의 주간에 연구결과를 발표해야 한다)"
다큐멘터리제작 ,"현실. 지식. 윤리. 진실.
다큐멘터리에 따르는 주제어들은 무겁다. 계몽적 사명감이 규율처럼 따른다. 
하지만 21세기의 인문학적 담론은 더 이상 이 개념들을 절대적인 성역 안에서 보호하
지 않는다. 
현실이란 무엇인가? 
진실이란 무엇인가? 
다큐멘터리란 무엇인가?
우리는 통념에 따라 이들을 설명하기에 앞서 이 질문들이 만들어진 맥락을 탐구할 필
요가 있다. 그것은 주변에 대한 작은 관찰로부터 출발한다.

이 수업은 다큐멘터리라는 거대한 장에 접근하기 위해 작은 출발점들을 설정한다.
1. 세상을 바라보기
2. 세상을 바라보는 나를 바라보기
3. 세상을 바라보는 방식들을 바라보기

이 수업은 창작으로서의 발상, 발상으로서의 창작을 위한 자기 탐험의 시간이다. 관
점을 이동시키는 과정으로서의 `제작`을 향한 감각의 훈련이다.  

`다큐멘터리`라는 용어를 처음으로 사용한 존 그리어슨은 다큐멘터리를 이렇게 정의
내린다.
""현실의 창의적 처리""

우리는 그의 정의 자체를 `창의적으로 처리`할 필요가 있다."
커뮤니케이션테크놀로지와커뮤니티 ,"본 수업의 목적은 도시와 커뮤니케이션이 어떻게 연관되는지를 이해하고 이러한 이해
를 바탕으로 도시의 문제를 커뮤니케이션 시각에서 바라보는 능력을 기르는 것이다. 
특히 본 수업에서는 서울이라는 도시의 문제를 커뮤니케이션의 틀 속에서 함께 논하
게 될 것이다. 소위 ""도시 커뮤니케이션""의 쟁점들을 다루게 될 본 수업에서는 특히 
최근의 커뮤니케이션 테크놀로지와 도시 안의 다양한 커뮤니티 어떻게 서로 영향을 
주고 받는지의 과정을 고찰하게 될 것이다. 학생들은 이 수업을 통해서 소셜미디어, 
모바일 기술, 장소기반기술들, 클라우딩 서비스, 빅데이타 등의 새로운 기술과 서비
스들이 도시 공간과 어떻게 상호작용하는지를 생각해 보게 될 것이다. 구체적으로 다
음과 같은 이슈들이 중점적으로 본 수업에 다루어지게 될 것이다. 

- 소셜미디어와 도시 커뮤니티
- 네트워크 사회, 네트워크 경제, 네트워크 개인주의 
- 도시 내의 새로운 저널리즘 현상 
- `net locality`와 도시
- 뉴미디어와 마을 커뮤니티  
- 도시 스토리텔링 
- 도시 내의 위험, 재난, 위기 커뮤니케이션 문제 
- 도시 안의 이주민들과 커뮤니케이션 
- 도시와 사회적 자본 
- 디지털 불평등과 지리적 불평등 
- 도시 안에서의 사람들의 집단 행동들 
- 도시 안에서 이루어지는 공유 경제와 협력 
- 집합지능과 도시 
- 도시 공간 디자인 이슈와 커뮤니케이션"
PORTFOLIO AND PRESENTATION ,"Description
Using pre worked designs or finished designs to create most effective and
intuitive
Motion graphics or prototypes.

Goal
Produce effective motion graphics or prototypes describing one`s design."
SPECIAL TOPICS IN ASIAN STUDIES ,"This course is mandatory for all first-year students majoring in Asian 
Studies. 
Non-Asian Studies majors may take this course as a UIC elective course."
"AS LHP: ETHNICITY AND NATIONALISM IN SOUTH ASIA, 1830-1980 ","In this course, open to all UIC students, we will explore key concepts and 
readings concerning ethnicity and nationalism in South Asia. No background in 
South Asian history is necessary. The broadly chronological structure will 
begin around the time of Lord Macaulay’s famous Minute on Education, which 
helped to define the relationship between Asian identity and Western 
civilization, through the colonial, nationalist and post-independence eras, up 
to the revival of Hindu nationalism in modern India. Lectures will present 
historical and thematic outlines while readings, class work and discussions 
will focus on conceptualizing issues of race, class, caste, and gender within 
the complex nationalist politics of the Indian subcontinent. Important 
theoretical perspectives we will consider include those of the Cambridge 
School, the Subaltern Studies movement, and the work of scholars in disciplines 
including anthropology, psychology, postcolonial studies, and art history. 
Assessment will be in the form of three in-class assignments, three 3-4 page 
written essays, and weekly reading questions and responses."
MODERN CHINESE ECONOMY ,Comprehension of Chinese economy mainly from the perspective of entrepreneurs.
AS LHP: RACE AND VIOLENCE IN MODERN JAPAN ,"In this course, we will explore concepts and conflicts pertaining to racial 
and ethnic minorities in modern Japanese history. Today, we constantly witness 
acts of racist and ethnic violence perpetrated by both state and non-state 
actors elsewhere in the world. We also encounter a wide range of narratives 
implicating racist ideologies and their counterarguments through mass and 
social media. To better understand the historical context of such recent 
phenomena, this class examines theories and mechanisms of racism and violence 
and studies the ways in which they have worked in modern Japan as a case 
study. Topics include: theories of racism and violence, conflicts against the 
Burakumin, assimilation of the Ainu, violence against colonial subjects, 
racism and WWII, history of violence in Okinawa, and hostility against ethnic 
minorities including resident Koreans and migrant workers. The course also 
examines representations of racism and violence in works of fiction and film. 
Though the general focus will be on concepts and events relevant to modern 
Japanese history, the course also aims to help students understand the nature 
of racism and prejudice against minorities in other historical and social 
contexts."
중국경영론 ,"The course contents change annually. This year we focus on the advertising 
strategy in China."
ART AND THE CITY ,"This class pursues a new concept of study to integrate the creative arts and 
academic research across the course. It will seek to develop cross-
disciplinary studies and new research for artistic expression by creating 
individual or collective art projects. The target of project is ‘Songdo’ 
city, students’ residence and college neighbor, which has been developed by 
government plan. The goal of the class is ‘studying by art’.  The artistic 
research to ‘Songdo’ city in this class will be up-to-dated modes of study, 
exploration, knowledge, and discovery."
SEMINAR IN CHINESE BUSINESS ,"Seminar in Chinese Busines introduces both theoretical and practical 
knowledge in how Chinese business operate in domestic and global markets."
CONSULTING AND TECHNOLOGY ,
MEDIA ENTERTAINMENT INDUSTRY AND POLICY ,"This course will develop a framework to help you understand and critically 
analyze media/entertainment players, media/entertainment users and culture, 
media policies and social impact of media/entertainment services"
KOREAN CULTURE AND AESTHETICS ,"This course introduces overview of Korean culture and aesthetics from 
perspectives of cultural creators."
MUSICAL STYLE AND COMPOSITION ,"This course is designed to teach compositional idas and techniques based on 
studying musical exmaples from various styles, including Classical,Jazz, 
Blues, Folk and Pop music. Students will be introduced to musical theory and 
structures by studying and analyzing representative examples from different 
musical genres. Regular musical writing assignments will include musical 
compositions and analysis."
TOPICS IN RELIGIOUS STUDIES ,"The 2nd Semester 2015 course will focus on the topic, “Religion & Politics in the
the West.” What is “secularization” and does this concept accurately describe 
the development of religion in the West?  Should religion be a part of a good 
city or good society and with what--if any---limits? What have Judaism, Christian
Christianity, and Islam taught about the proper relationship between religion 
and politics?  Is democracy compatible with the three Abrahamic religions? 
How might past thinkers illuminate issues being faced in a post-modern and 
post 9/11 world?
As a seminar-style course, class time will focus on discussing the
readings and making connections to current events and challenges. Preparation 
for class is essential. The professor will supplement with short 
lectures/introductions to the readings. Students will become familiar with 
concepts and with core writings that have shaped current thinking at the 
intersection of religion and politics. Through short response papers, students 
will also sharpen skills in critical reading, analytical writing, and applying 
theories in cultural and historical contexts. Each student will lead the seminar at 
least once and will complete a final project that includes a class presentation 
and paper."
ETHNOGRAPHIC APPROACHES ,"This is a course in both the Archaeology and Geology of Storytelling; our task 
is to un-earth and inscribe the stories of those whose stories would otherwise 
remain oral or go untold. Achieving it will require a series of approaches and 
entrances into subcultures through interview and participant observation. This 
will involve intensive listening, performance, and transcription."
PHILOSOPHY OF PSYCHOANALYSIS: FREUD'S THEORY OF DREAMS ,"This course will explore the philosophical and scientific status of Freud`s 
theory of dreams"
PERSPECTIVES ON LAW IN SOCIETY ,"The targets of the course are undergraduate students who do not major in law. 
The course is designed to broaden those students’perspective towards law so 
that the students can understand law’s functioning in various social 
contexts, to encourage students to develop their ideas about controversial 
issues in law and society, and to improve the ability to express those ideas.

The course begins with an overview of two traditions in legal thinking - 
natural law and legal positivisim -, followd by an overview of two tranditions 
in social science - the Durkheimian and the Weberian. It proceeds to discuss 
the social-scientific definition of law, the two sides of law – system and 
process –, law in the context of power and domination, economic implications 
of law, disputes and dispute resolution, the rule of law and social capital, 
the organization and function of the legal profession, the judicial 
organization and its functions, and the globalization of law.

The course will be conducted in a seminar format with active participation by 
students."
STUDIES IN CLASSICAL CIVILIZATION ,"The purpose of this class is to acquaint students with intersectionality—that 
is, the intersections of distinct yet interrelated systems of oppression, such 
as religion, ethnicity, race, class, sexual identity, gender, gender 
expression, and ability—in ancient Greece and Rome, as they are operative in 
primary texts by Sappho, Homer, Sophocles, Euripides, Aristophanes, Plato, 
Petronius, Martial, Catullus, Suetonius, and Apuleius, among others. We will 
employ a textbook, Marily Skinner’s Sexuality in Greek and Roman Culture (2nd 
edition, 2013)."
IMAGINATIVE WRITING ,"This course involves inscriptive expression in a variety of forms including 
poetry and prose. Those who wish to write imaginatively in any form are 
welcome. We will experiment with the poem and short story through exercises 
and imitation. The only prerequisites for this course are the desire to write, 
read, share your work, and comment good-naturedly on that of others. In 
addition to the required texts listed below, I will prescribe readings for 
each of you on the basis of your direction and progress throughout the course."
THE LITERATURE AND CULTURE OF NATURE ,"We will explore how to express the significances of Nature in our lives and the 
preservation of a natural environment through the medium of quality 
writings, East and West, including philosophy, poetry, essays and short 
stories, supplemented by masterful nature music, paintings and short video 
clips."
산업과전략 ,"Based on industrial organization theories, this course provides in-depth 
analyses of strategic behaviors of firms in imperfectly competitive markets. 
Topics include various pricing and product selection strategies; and strategic 
issues arising in markets with search costs, switching costs and network 
effects."
HUMAN RIGHTS AND DEVELOPMENT IN ASIA ,
DEVELOPMENTALISM AND CULTURE ,
대사공학 ,"This course is designed to provide students with fundamental principles on 
engineering metaboic circuits for manufacturing of biomedicines, biochemicals, 
bioenergy and platform/commodity chemicals. Topics include kinetic and 
thermodynamic analysis of cellular processes (including enzymes and metabolic 
networks), genetic regulation, metabolic pathway and network analysis and 
analysis of synthetic genetic circuits."
ANCIENT & MEDIEVAL WESTERN POLITICAL THOUGHT ,"This is an introductory study of the development of ancient and medieval 
political thoughts from the time of the Greeks to the medieval, anticipating 
the rise of modern states. It is designed to analyze and discuss major 
political ideas and thoughts in the ancient and medieval times. Specifically, 
in this semester, we discuss political thoughts of four major thinkers, Plato, 
Aristotle, Augustine, and Acquinas, by reading some selected parts of their 
writings in English with major commentaries. This course is aimed to help 
students first understand major ideas and thoughts of the great thinkers of 
the times, and then to analyze their implications to the debates in 
contemporary political thoughts and philosophy as well as to contemporary 
liberal democracy."
INTRODUCTION TO POLITICAL ECONOMY ,"This course is designed to a basic understanding of group decision-making 
processes and political institutions along with “positive political 
economy,” which is grounded in rational choice assumptions and applies 
economic theory to a wide range of political phenomena (e.g. voter turnout, 
collective action problem, and regulatory capture). 
The course is divided into four sessions. The first session will introduce 
basic economic concepts. The second session will focus on social choice theory 
to understand individual choice and group decision-making processes. The third 
session will deal with collective action problems that indicate the market 
failure where individual rationality not to efficient provisions of public 
goods.  The final session will cover the role of political institutions in 
shaping policy outcomes.  
I hope that by the end of this course students will be able to analyze 
political decisions and policy –making processes with the knowledge learned in 
the classroom."
도시정치 ,"This course provides an introduction to ‘urban politics in a sustainable 
perspective’, and explains why sustainability is a growing concern for cities 
and city-dwellers. How do we define and achieve sustainable cities? How can we 
make Seoul or your city as a sustainable city? How do you analyze your 
community and enhance sustainability? We discuss problems of sustainability 
planning, energy supply and demand, water management, infrastructure and 
buildings and campus sustainability. We examine some real-world case studies 
from cities and towns in Asia and elsewhere to illustrate both problems and 
solutions. The course includes exercises to imagine and plan what would be 
required for the transition to more sustainable urban lifestyles, and to 
support the sustainability of cities in the 21st Century. This is a Community-
based Learning (CBL) certified class."
ELECTION CAMPAIGNING IN KOREA ,"This course is designed to explore elections and campaigns in Korea. Students 
will learn how voters evaluate candidates and parties to make their voting 
decision. The course consists of three broad subjects: electoral systems, 
voting behavior of electorates and political campaign. The main purpose of 
this course is let students understand more broadly 1) how and why the 
electorates votes the way they do, and 2) how candidates and campaigns can 
influence the electorates. Building upon a background in classic election 
studies and general understanding of voting behavior of Korean electorates, 
two election campaigns will be empirically examined: 2002 presidential 
election and 2012 National Assembly election."
ORGANIZATIONAL BEHAVIOR AND PUBLIC POLICY ,"Why some policies still continue even in the face of strong resentment on the 
part of the country people? Why state organizations do not do what they say 
they are doing? Why firms are so vulnerable to future uncertainties and 
indeterminacy? Why organizations cannot have minds of their own? 
According to the prevailing explanations of individual decision or public 
policy,individual, group, and organization`s identity and preferences are 
exogenously given and stable, and thus these rational choice theories 
typically analyze choice among available alternatives, even though the 
definition of the alternative itself is the exercise of power.
Without accounting for preference-making, explanations of when activities will
be made through value-maximizing market, state authorities, or international 
system are doomed to fail.
However, until recently public policy scholars didn`t pay very much attention 
to the unequal power relations in the organizational field, which is essential 
to the understanding of the complexity and dynamics of the policy-making 
processes. 
In this light,this course is a teaching tool about the origins, processes and 
the consequences of policy and its making in terms of organizational behavior. 
In the meanwhile we will come up with several appropriate answers as to when 
and why certain policy arise?; what are the social origins of the 
policy?; What role cultural politics plays in the process?; How 
persistent are the existing rules and culture?; What causes change in the 
nations’policy? ; What are the consequences of the 
institutional change?; and what should be a pertinent institutional structure 
for social corporatism?"
