Position,Job_Details
"
                WWPS Education Program Manager","Description

Would you like to be a key member of the Education Leadership team and lead AWS’s effort focused on increasing adoption of Amazon Web Services in Education?
Do you have the business savvy and the technical background necessary to help establish Amazon as a key technology platform provider in K12 and Higher Education?
As our Education Program Manager you will have the exciting opportunity to help drive the growth and shape the future of an emerging technology in this highly strategic market segment. Your responsibilities will include building the Education Program strategy, drive recruitment, deployment, adoption, and market penetration. The ideal candidate will possess both sales and business development background, as well as a strong technical understanding. You should have experience that enables you to help to drive high level Government engagement.

Roles & Responsibilities
 Drive the Regional Education Program management and increase market adoption of AWS in education. Establish, enhance and maintain strong relationships with Key Government officials in the Education space, educators and key education partners Build AWS EDU Program strategy and coverage, recruit, motivate, and develop long term relationships with key government agencies, education institutions and entities. Work with program members on growing adoption, integrating AWS technologies into existing curriculum and drive cloud awareness across the institution. Establish and track program goals, business metrics, and indicators for success Meet or exceed quarterly/annual program targets. Drive user story brainstorming, review, and clarification sessions with technical teams to deliver maximum customer value with available time constraints and resources Develop and execute against a comprehensive program plan. Create & articulate compelling value propositions around AWS services. Accelerate customer adoption. Maintain a robust program plan Ensure highest level of customer satisfaction.

Basic Qualifications
 At least 2-8 years experience, with at least several years in engaging with senior tertiary institution management/faculty and other agencies preferably in Public Sector Master’s Degree in Business Administration or equivalent You have a solid experience in the IT industry. Deep experience in sales/revenue generating roles with increasing responsibility and a strong track record of leading sales teams to exceed goals. You have an entrepreneurial mindset, you love building businesses and have done it before. You are comfortable managing different teams across functions, with a proven record of bringing your team to a higher level of performance, and providing them with the proper orientation to achieve their goals. You have experience working in a multinational environment. You are an excellent public speaker. You enjoy spending time with customers, and have the ability to cultivate relationships with a diverse set of stakeholders. You have a distinctive ability to communicate complex ideas in succinct and compelling ways. You are sharp, self-motivated, result-oriented, and able to build a plan and make things happen, while upholding honesty and integrity and without compromising attention to detail
Preferred Qualifications
 Significant technology related sales, business development, or sales engineering/consulting experience. Several years of experience selling within the public sector industry. Computer Science and/or Engineering/Math background. Working knowledge of software development practices and data center / infrastructure / networking technologies.

Company - Amazon Web Services Korea LLC
Job ID: A1250304
 

 

          직급
        

          과장·부장
        




          업계
        


              컴퓨터 소프트웨어
            

              IT
            

              인터넷
            




        고용형태
      

        풀타임
      





          직종
        


              프로젝트 관리
            

              IT
            

              제품관리"
"
                [의료기기 / 영업] Sales Representative","An international medical equipment manufacturing company is searching for a Sales Representative. The applicant selected for this role will be responsible for driving new business development and customer training.

Responsibilities
 Ensure strong business relationships with hospitals Reach the assigned sales target Find possible business opportunities Ensure current clinical and technical expertise Manage client service and warranty claims Submit business progress reports for medical channels 

Requirements
 Bachelor’s degree or above in a business or scientific field 3+ years of experience in HMV and NIV treatment is ideal 5+ years of marketing and commercial experience is a plus Clinician experience is preferred Experience in a relevant field is a plus Fluent level English and Korean 

About The Company

A US-based manufacturer of medical equipment with a primary focus on respiratory disorders. With operations in an impressive number of countries and manufacturing centres across multiple continents, this company is a global leader in its field.

1435340/001
 

 

          직급
        

          신입
        




          업계
        


              전기전자
            

              소비재
            

              금융 서비스
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              영업"
"
                Amazon Ecommerce Specialist","게시자:
  








            Hyeon Jang
              
                2촌
              


            Changing the way we create and communicate. #Outrageous #Disruptive #Fearless #Straightforward #Impactful #Inclusive
          
 







        InMail 보내기






3i는 [Who We Are]🚀 3i is an invention-driven company headquartered in Seoul, Korea. With AI-powered intuitive interfaces and innovative solutions, 3i enriches digital experiences and augments individual capabilities to better connect people and places.
Pivo: 3i developed Pivo, a smart rotating pod that turns any smartphone into a self-capturing device. Pivo empowers everyone to move around freely while capturing their best moments. Pivo is sold worldwide through its website, getpivo.com. Pivo currently offers an extensive line-up of pods, apps, accessories, and bundle packs.
INSITE: 3i brings distant places closer to the ones that care for them with its 3D intelligence SaaS platform: INSITE. INSITE unlocks digital buildings and remote collaboration for Facility Management, in 3D.
📌 Are you a problem solver seeking a challenging job in a fast-paced environment? Do you share our values?
#Outrageous #Disruptive #Fearless #Straightforward #Impactful #Inclusive
🌟 Then this is the right place for you.
🔍 Learn more : https://www.3i.ai/

주요업무[What you will do]Responsible for Amazon Seller Central & Amazon LaunchPadLead and execute the Amazon MarketPlace Expansion campaignsWork collaboratively with the support team across brand, customer service, planning and logistics to ensure the customer needs and to achieve all objectivesTrack and Analyze daily/weekly/monthly sales and be able to suggest the proper mitigation plansMonitor buybox, promotion, deals, and reviews. Ensure issues are resolved.Develop Amazon marketing strategy and programGather and analyze performance of competitors’ products.Optimize all product listings on AmazonDevelop and improve upon existing Amazon presenceRegularly make data documents and analyze data to find out proper implications  자격요건[What we expect from you]Fluent English proficiency1+ years of Amazon Seller Central is a mustGood understanding of the global market and IT product sales Excellent problem-solving abilities along with oral and written communication skillsWork successfully in a team environment as well as independently  우대사항[It is a plus if you have]2+ years of relevant working experience(E-commerce)Ideally experienced in Amazon PPC and DS

채용 절차[Hiring Process]CV Screening - Assignment Test - 1st interview - Final Interview 

혜택 및 복지[At 3i, we offer]4대보험 적용역량에 맞는 스톱옵션 제공업무에 필요한 최신 장비지원 (맥북프로 or 윈도우 노트북, 듀얼모니터)편안한 자율 복장초과 근무시 저녁식대 제공조건 충족시 청년내일채움공제 신청 가능 다양하고 건강한 음료, 차 그리고 커피 무한 제공회사의 이익, 성장 기여도 및 개인 성과에 따른 정기 인센티브(연 1회) 및 수시 인센티브(연중 수시)설, 추석 명절 선물 지급
 

 

          직급
        

          대리
        




          업계
        


              IT
            




        고용형태
      

        풀타임
      





          직종
        


              경영
            

              제조"
"
                Inside Sales Business Development Representative","Job Description For Advertising Purposes

~Responsibilities:

As a Business Development Representative, you will be responsible to digitally (phone, email and social media) connect with new and existing customers to educate them about PTC’s offerings and identify new business opportunities that will ultimately convert generate revenue.
 Prospect and develop new accounts while engaging with existing accounts Qualify Inbound leads and develop strong outbound sales campaigns Prospect into white-space accounts to add net new logos Make outbound calls and set up meetings for Account Executives and Market Directors Accurately record activities (calls, emails, demos, etc.) in SFDC Assist in the execution of demos in your region Engage actively with prospects & customers via social networking sites such as LinkedIn and Twitter Measured on pipeline impact and activity based KPIs
Desired Skills & Experience
 College degree with strong academic performance Excellent communication skills 2 to 3 years of professional experience including cold calling Prior experience calling into PLM product segment preferred Professional digital presence Undergone sales methodology training such as FAB, MEDDIC, etc. Ability to prioritize, multi-task and manage time effectively Competitive drive and strong desire for success
PTC Company Description

About PTC (NASDAQ: PTC) PTC unleashes industrial innovation with award-winning, market-proven solutions that enable companies to differentiate their products and services, improve operational excellence, and increase workforce productivity. With PTC, and its partner ecosystem, manufacturers can capitalize on the promise of today’s new technology to drive digital transformation.

Why Join Us And Benefits Summary

When looking for a new job, we know you are looking for something that aligns with your values, passions, dreams, and lifestyle. Our team is passionate and committed. We are driven by innovation and value our work-life balance. Check out what it’s like to work at PTC at #lifeatPTC. We believe that diversity of experience and background leads to better ideas and a stronger company. We encourage everyone to bring their unique perspectives to our team. We take a holistic view of the employee experience and provide you with what you need to take care of your health, your wealth, your well-being, and your career. PTC benefits are among the most competitive in the industry. While your salary is the major component of your compensation, you also receive a competitive benefits package including:  Retirement Savings Plan with Company Match  Employee Stock Purchase Plan (ESPP)  Healthcare and Dental insurance  Paid Time Off and Sick Time  Birthday Day-off  Tuition Reimbursement (Canada, India, Israel, US)  Holiday Pay  Employee Referral Program  Management and Employee Training Development  Other Regional-specific Benefits All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
Region
Asia-Pacific
Subregion
Pacific Rim
PTC Org
S&D - Sales and Distribution
Job Category
Sales
Job Type
Regular Full-Time
 

 

          직급
        

          신입
        




          업계
        


              IT
            

              컴퓨터 소프트웨어
            

              컴퓨터·네트워크 보안
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              사업개발"
"
                Global Investment Research, Equity Research, Korea Technology, Analyst - Seoul","YOUR IMPACT 

Are you passionate about research and generating investment ideas? We’re looking for a professiona l to join our Korea Technology sector team in Seoul , t o develop valuable insights and investment ideas for our clients.

 OUR IMPACT 

From macroeconomic forecasts to individual stock analysis, our team develops tools and insights to help shape investment strategies for clients and the firm. Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the world each day to identify game-changing insights. You’ll be part of a team that is intellectually curious, creative, analytical, and passionate about performing market research.

How You Will Fulfill Your Potential

 RESPONSIBILITIES AND QUALIFICATIONS 
 Provide integral support to single stock or thematic research teams  Build, maintain and update company forecasts and valuation models  Conduct market share, macro trend, and cross company and sub sector data analysis  Work closely with Content Management Group to ensure timely publication of research reports  Prepare and produce insightful company specific projects  Perform statistical analysis of economic data, fundamentals, and relevant correlations of the data  Listen to and produce briefing notes on companies  Conference calls and analyst briefings  Attend morning calls and contribute as necessary  Update monthly reports, marketing books, and daily valuation sheets  Respond to ad hoc requests from clients, sales and traders  Attend client meetings with their senior analyst in Korea (or other offices if possible) 

Qualifications
 College degree from a reputable university  Excellent verbal and written communication skills  Meticulous attention to detail and strong organizational skills  Ability to demonstrate exceptional analytical skills, lateral thinking, and judgment  A proactive approach and a high level of enthusiasm and motivation for the financial markets  Excellent skills in Microsoft Office applications (Excel, Word, PowerPoint)  Ability to meet aggressive deadlines and work under pressure  A high level of proficiency in Korean and English 

About Goldman Sachs

The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.

© The Goldman Sachs Group, Inc., 2018. All rights reserved Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet.

 

 

          직급
        

          대리
        




          업계
        


              IT
            

              컴퓨터 소프트웨어
            

              금융 서비스
            




        고용형태
      

        풀타임
      





          직종
        


              금융
            

              영업"
"
                Wind Project Developer","Wind Project Developer
Hangangdaero 416, Namdaemunro 5 gaWork experienceProject Management, Product Management0 - 0Published: 2020-10-22

Your Responsibilities

Due to our dynamic growth, we are expanding our team in Seoul and are currently looking for a Wind Project Developer:

 General/Market
 Maintain an up to date database of renewable energy policy in South Korea;
 Attend industry events and raise BayWa brand awareness in the market;
 Participate in team and company meetings, discussions and workshops and contribute to the regional wind team, providing support where required;
 
 Green fielding / site searching
 Support with potential new site identification and selection;
 Identification of suitable land for wind energy development, maintaining an up to date Geographical Information System (GIS) database for South Korea;
 Utalising GIS to score and rank high potential sites, carry out the desktop analysis to further qualify the potential and carry out site visits to confirm desktop assumptions;
 Record and report findings of site finding activities;
 Identify and follow up on other potential routes to identify developable new opportunities;
 
Origination
 Identification of proposed wind/solar projects and potential developer partnerships in South Korea;
 Managing relationships with project stakeholders and following up as required, understanding potential partner requirements and drafting/agreeing key terms of partnership agreements;
 Monitoring key economic drivers for each opportunity, managing internal resources to prepare and submit offers;
 Site visits to confirm commercial points and technical assumptions and gather data;
 
 Project Management
 Identifying and securing land suitable for wind farm development, monitoring project risk;
 Sourcing suitable inputs for the financial modelling to assess and appraise investment opportunities;
 Support due diligence of new opportunities, both external and internal, to support project investment and acquisition activities. Managing third party contractors and consultants;
 Ensuring project compliance with local regulations and company policy;
 Reporting progress to management and tracking key risks/issues. Maintaining a project technical execution plan.
 

Your Qualifications
 Third level degree, ideally either in environmental and/or forestry management, town planning, geography or a similar field;
 At least 2-3 years work experience in industry;
 An understanding of the renewable energy sector in South Korea;
 Good relationship management skills, able to easily adapt to a multi-cultural environment and collaborate with international colleagues;
 Fluent in both Korean and English;
 Flexible in approach and time, willing to travel when required and work out of hours when necessary (position is based in BayWa’s Seoul office, but travel is required).
 

Your Benefits
 Annual salary range KRW 35,000,000 – KRW 60,000,000 depending on experience and abilities Performance bonus Vacations 

We look forward to your application! 

If you have any questions about the job offer, please get in contact with us.
Manager/Specialist (HR)Ms. Sirinan Teppaitoon+66-2-020-5756
 

 

          직급
        

          신입
        




          업계
        


              재생·친환경
            

              건설
            

              헤드헌팅
            




        고용형태
      

        풀타임
      





          직종
        


              사업개발"
"
                [토스뱅크팀] Product Owner","게시자:
  








            Hayoung Park
              
                2촌
              


            Viva Republica (Toss) Recruiting Manager
          
 







        InMail 보내기






토스뱅크팀 소개토스뱅크팀은 대한민국 금융혁신을 위한 새로운 인터넷은행을 설립하는 것을 목표로 합니다.혁신과 포용의 챌린저뱅크(challenger bank)를 표방하는 '토스뱅크(가칭)'는 기존 공급자 중심의 금융 경험을 고객 중심으로 새롭게 정의하고, 전통 금융권으로부터 외면되어 왔던 금융 소외 계층에 꼭 필요한 금융 서비스를 제공하고자 합니다.토스가 시작하는 인터넷은행의 첫 시작을 함께 할 동료를 기다립니다.
팀에 합류하시면 이런 업무를 함께 합니다담당 제품과 관련한 모든 사안에 대해 최종 의사결정 권한을 가지고, 개발, 디자인, 마케팅 등 전반에 걸쳐 제품을 주도하는 역할을 합니다.시장의 비효율, 고객의 pain point, 잠재적 사업 기회 등을 파악하여 풀어낼만한 가치가 있는 문제 또는 사업 영역을 정의하고, 실행의 우선순위를 결정합니다.유효한 가설을 수립하고, 실험을 통해 도출된 data insight를 기반으로 가설을 검증하며, 끊임없는 iteration을 통해 product-market fit을 찾고, 제품을 고도화합니다.
이런 경험을 가진 분을 찾습니다3년 이상 모바일 제품에 대한 개발, 디자인 또는 PM을 해 본 경험이 필요합니다.데이터 기반으로 다양하고 복잡한 문제를 해결하는 Analytic Mindset이 필요합니다.궁극의 고객 경험과 시장을 혁신하는 제품을 발굴할 수 있는 역량이 필요합니다.실패를 두려워하지 않고, 어떻게든 성과를 만들어내는 Grit이 필요합니다.스스로 목표와 전략을 설정하고, 논리적인 커뮤니케이션을 통한 협업이 가능해야 합니다.
이런 경험이 있다면 더 좋습니다한정된 자원과 시간 속에서 최고의 성과를 만들어내는 Lean Startup 및 Agile 조직 경험이 있으신 분이면 좋습니다.사업/제품 기획부터 조직 운영까지 스타트업의 A to Z를 다뤄보신 창업 경험이 있으시면 좋습니다.다양한 기술과 산업의 특성을 파악하여 최적화된 솔루션을 도출하는 역량이 뛰어난 산업공학 관련 학위 소지자 또는 소프트웨어에 대한 이해도가 높은 컴퓨터공학 관련 학위 소지자를 선호합니다.
토스뱅크팀으로의 합류 여정서류 접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 최종 합격
동료의 한마디어떤 은행 상품을 만들어낼지부터 그 상품을 어떻게 모바일에서 잘 구현하고 어떻게 마케팅할지까지. 토스뱅크의 Product Owner는 이 모든 과정의 중심에서 혁신을 만들어나가는 역할을 합니다.은행을 만들어 나간다는 건 분명 어려운 일이지만 흔하지 않은 기회고 정말 높은 성취감을 느낄 수 있는 일이기도 해요. 최고의 은행을 만들어보고 싶은 분을 기다립니다.
 

 

          직급
        

          과장·부장
        




          업계
        


              금융 서비스
            

              IT
            

              은행
            




        고용형태
      

        풀타임
      





          직종
        


              컨설팅
            

              제품관리
            

              프로젝트 관리"
"
                [반도체/영업] ISG Sales Manager","An international semiconductor company is in need of an ISG Sales Manager. The person who enters this role will be responsible for developing plans and activities for the assigned account. This is a great chance to advance your career with a global company.

Responsibilities
 Share progress, requirements, and forecasts related to the assigned account Establish budget and revenue strategies for the assigned account Share value and solution propositions Support product development Collect business and market research data 

Requirements
 Bachelor’s degree or above in a technical field 5+ years of successful equipment sales experience Understanding of China’s foundry and design houses Stable employment history Network of relevant key personnel is a plus Fluent level written and verbal English and Chinese 

About The Company

A global semiconductor company with strong market presence and a long history. The company provides its customers with high-quality products and services.

1448540/001
 

 

          직급
        

          신입
        




          업계
        


              전기전자
            

              소비재
            

              금융 서비스
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              영업"
"
                Data Analyst Intern","Moloco seeks passionate data analyst interns. Moloco is a Silicon Valley startup with a mission to build an on-demand mobile infrastructure to leverage the rich data generated by the rapidly expanding mobile ecosystem. Many leading apps worldwide already benefit from Moloco’s innovative technology for user acquisition, re-engagement, and monetization.
Moloco is an engineering company founded by software engineers. We understand the value of a strong engineering team and strive to hire only the best scientists and engineers. While tackling challenging real-world problems, you will make positive impact to millions of mobile users in the world and grow with top-notch colleagues. For more information about Moloco, please visit our website: www.molocoads.com
Job DescriptionData analysts at Moloco are generally in charge of finding gems from the deluge of our advertising data. You will be earning the privilege of dealing with petabytes of big data on a daily basis. Mining and analyzing those data plays a crucial role in the development of our ever-evolving advertising products. Data analysts are indispensable to Moloco business since the application of derived knowledge to the ads campaign optimization drives our growth.
ResponsibilitiesData mining: providing refined data as input to machine learning algorithms by closely working with data pipeline and machine learning infrastructure engineering teams.Data curation: integrating data from different sources including the first party mobile app data and some third-party public data.Data analysis: analyzing data from lots of mobile apps to provide insights into existing and future campaigns using standard tools including SQL and charting libraries.Data visualization : transforming various data sources into graphs or charts that identify trends, patterns and outliers.Data validation: verifying the first party data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get trained with accurate data.Campaign optimization: engaging in the lifecycle of campaigns from the initial lookalike model building to daily monitoring to advanced machine learning model building.
QualificationsPursuing a BS, MS or PhD degree in one of the following areas: Mathematics, Statistics, Economics, Engineering, and Computer Science or relative field.Strong analytical and problem-solving skills required.Great communication skills required, fluency in English preferred.Experience in SQL or other data analytics language preferred.Knowledge in statistical machine learning models preferred.Programming experience with any language preferred.Long term commitment (at least 3 months)
 

 

          직급
        

          인턴
        




          업계
        


              광고·마케팅
            

              컴퓨터 소프트웨어
            

              IT
            




        고용형태
      

        인턴
      





          직종
        


              공학
            

              연구"
"
                [토스팀] Product Owner","게시자:
  








            Hayoung Park
              
                2촌
              


            Viva Republica (Toss) Recruiting Manager
          
 







        InMail 보내기






토스팀 소개모바일 금융 서비스 토스를 운영하는 ㈜비바리퍼블리카는 2015년 2월 공인인증서 없이 쉽고 빠르게 송금할 수 있는 간편 송금 서비스를 선보인 이래, 현재 40여 개 이상의 다양한 금융 서비스를 제공하며 1,800만 명이 사용하는 국내 대표 핀테크 기업으로 성장했습니다. 대한민국 금융 혁신을 선도하고 있는 토스팀에는 각 분야 최고 수준의 역량을 갖춘 약 500여 명 이상의 인재들이 모여 자율과 책임의 원칙 아래 상호 신뢰의 문화에서 일하고 있습니다.어렵고 복잡한 금융 경험을 혁신해 가슴 뛰는 변화를 함께 만들어 나가며, 최고의 동료들과 함께 성장할 수 있는 곳에서 일하고 싶지 않으신가요? 대한민국 금융 혁신을 위해 새로운 도전을 함께 할 멋진 동료를 기다립니다.
팀에 합류하시면 이런 업무를 함께 합니다담당 제품과 관련한 모든 사안에 대해 최종 의사결정 권한을 가지고, 개발, 디자인, 마케팅 등 전반에 걸쳐 제품을 주도하는 역할을 합니다.시장의 비효율, 고객의 Pain point, 잠재적 사업 기회 등을 파악하여 풀어낼만한 가치가 있는 문제 또는 사업 영역을 정의하고, 실행의 우선순위를 결정합니다.유효한 가설을 수립하고, 실험을 통해 도출된 Data insight를 기반으로 가설을 검증하며, 끊임없는 Iteration을 통해 Product-market fit을 찾고, 제품을 고도화합니다.
이런 경험을 가진 분을 찾습니다3년 이상 모바일 제품에 대한 개발, 디자인 또는 PM을 해 본 경험이 필요합니다.데이터 기반으로 다양하고 복잡한 문제를 해결하는 Analytic Mindset이 필요합니다.궁극의 고객 경험을 달성하고, 시장을 혁신하는 제품을 발굴할 수 있는 역량이 필요합니다.실패를 두려워하지 않고, 어떻게든 성과를 만들어내는 Grit이 필요합니다.스스로 목표와 전략을 설정하고, 논리적인 커뮤니케이션을 통한 협업이 가능해야 합니다.
이런 경험이 있다면 더 좋습니다한정된 자원과 시간 속에서 최고의 성과를 만들어내는 Lean Startup 및 Agile 조직 경험이 있으신 분이면 좋습니다.사업/제품 기획부터 조직 운영까지 스타트업의 A to Z를 다뤄보신 창업 경험이 있으시면 좋습니다.다양한 기술과 산업의 특성을 파악하여 최적화된 솔루션을 도출하는 역량이 뛰어난 산업공학 관련 학위 소지자 또는 소프트웨어에 대한 이해도가 높은 컴퓨터공학 관련 학위 소지자를 선호합니다.
토스팀으로의 합류 여정서류 접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 최종 합격
동료의 한마디토스팀은 적당히 좋은 제품은 내놓지 않아요. 항상 최고로 좋은, 감동적인 서비스를 만들려고 하죠. 이런 문화 덕분에, 항상 최고의 서비스를 만들어내기 위한 최선의 노력을 할 수 있다고 생각합니다. 대한민국 모든 이들이 금융의 시작과 끝을 토스로 사용할 수 있을 때까지 최전선에서 함께 뛰실 멋진 Product Owner 분들을 기다립니다.
 

 

          직급
        

          과장·부장
        




          업계
        


              금융 서비스
            

              IT
            

              은행
            




        고용형태
      

        풀타임
      





          직종
        


              컨설팅
            

              제품관리
            

              프로젝트 관리"
"
                Account Executive","Company Description

Wish is a mobile e-commerce platform that flips traditional shopping on its head. We connect hundreds of millions of people with the widest selection of delightful, surprising, and—most importantly—affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than 160 countries around the world discover new products. For our over 1 million merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market.

We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place.

Job Description

Account Executives at Wish are hunters. As a member of the US business development team, your goal will be to develop an understanding of the Wish platform and its place in the e-commerce community, identify key opportunities within that community and pursue, persuade and close merchants. A successful Account Executive is competitive, revenue focused, disciplined in the process, sharp and intuitive, and a highly effective internal & external communicator.

What you'll be doing:
Efficiently identify and aggressively pursue prospective merchantsDemonstrate analytical thinking and leverage data to drive decision makingPitch prospective new merchants on the phone, at industry events, and at in-person meetingsProactively manage technical and operational hurdles in new merchant on-boardingEffectively communicate & collaborate with relevant internal stakeholders

Qualifications
Previous experience in a similar marketing/sales role strongly desiredHighly competitive, smart, detail-oriented, relentlessly resourcefulKnowledge of the online shopping industry, particularly with marketplaces & marketplace sellersStrong personal presence with excellent verbal and written communication skillsExcellent organizational skills including prioritizing, scheduling, time management, & proficiency in CRM systemsTeam-oriented but has the ability to work independentlyAgile individual with the ability to work autonomously in a demanding and ambiguous environmentMinimum 1-2 years job experience; exceptional recent college graduates will be consideredSpeak one of the following languages fluently: Japanese or Korean

Additional Information

Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.

Individuals applying for positions at Wish, including California residents, can see our privacy policy here.

 

 

          직급
        

          대리
        




          업계
        


              컴퓨터 소프트웨어
            

              인터넷
            

              소비재
            




        고용형태
      

        풀타임
      





          직종
        


              사업개발"
"
                Partnership Manager, Mobile Application Developer Sales (English, Korean)","Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who cannot work from South Korea due to lockdown visa/travel restrictions, or other restrictive measures until further notice. Consequently, we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.

Minimum qualifications:
 Bachelor's degree or equivalent practical experience. Ability to speak and write in English and Korean fluently and idiomatically. 

Preferred qualifications:
 6 years of experience in advertising sales, strategic sales or partner development. Customer-facing experience translating technical concepts and solutions to non-technical and executive audiences. Understanding of the app developer ecosystem. Extremely proactive, organized, responsible, with ability to work well with a team. Excellent communication skills. 

About The Job

Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing business grow. Using your influencing and relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their advertising can reach thousands of users.

The Mobile Application Developer Sales team has big ambitions and global reach. You will engage with mobile first businesses, achieve business goals and drive change to accelerate Google’s position in the fast growing and strategic business of application promotion.

In this role, you will be part of a team dedicated to helping mobile application developers, that are new to Google, grow their business using Google products and services. You will advise clients on marketing strategies which will help them achieve their user acquisition goals and serve as an expert and advocate for mobile application developers within Google. You will proactively reach out to clients with solutions and insights to drive application discovery and engagement.

When our millions of advertisers and publishers are happy, so are we! Our Google Customer Solutions (GCS) team of entrepreneurial, enthusiastic and client-focused members are the ""human face"" of Google, helping entrepreneurs both individually and broadly build their online presence and grow their businesses. We are dedicated to growing the unique needs of advertising companies. Our teams of strategists, analysts, advisers and support specialists collaborate closely to spot and analyze customer needs and trends. In collaboration, we create and implement business plans broadly for all types of businesses.

Responsibilities Secure new Google clients by presenting mobile application promotion marketing solutions and creating relevant ad campaigns. Work within a team that supports mobile applications and educate customers on the opportunities within them.  Thrive in forming cross-functional relationships with other stakeholders to realize advertiser goals.  Develop strategies that optimize the market potential. Provide excellent client service to potential new customers. Contribute to the development of Google’s comprehensive suite of application promotional products. 

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .
 

 

          직급
        

          해당 없음
        




          업계
        


              정보
            

              인터넷
            




        고용형태
      

        풀타임
      





          직종
        


              사업개발
            

              영업"
"
                Account Manager, SMB (Korea market), Tokyo","Company Description

Twitter’s Customer Success team provides best-in-class support for our most valuable advertisers, increasing retention, revenue, and satisfaction. We are part of our Small Medium Business (SMB) team, which is focused on building and scaling our advertising business through a combination of data, engineering, marketing, customer acquisition, and customer service.

Job Description
Manage the full cycle sales with the primary task of activating dozens of high value advertisersEducate and consult to generate opportunities by demonstrating how to use Twitter’s advertising products, best practices and how to develop effective campaignsMaintain ownership and comprehensive knowledge of your accounts and opportunitiesIdentify proactive opportunities within your account set to provide suggestions that will increase customer satisfaction and revenueBuilding relationships with business partners, including advertising agenciesExecute, optimize, and analyze advertising programs using internal tools and dashboards.Troubleshoot and resolve issues in a timely and productive manner, identifying and implementing process improvementsStay on top of the latest trends, product updates, industry/regional updates to proactively share with your clients
 

 

          직급
        

          해당 없음
        




          업계
        


              인터넷
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              사업개발"
